"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"1" 8.39618e-10 8.73727e-11 8.61607e-12 6.95768e-11 1.17456e-11 8.85038e-12 5.57826e-11 2.16226e-12 9.0148e-12 -2.82052e-13 4.18475e-10 4.78287e-11 3.19631e-11 3.33731e-11 2.01359e-10 4.08148e-10 4.47581e-11 3.00538e-11 3.09138e-11 1.99402e-10 1.9556e-10 2.53723e-10 2.87636e-11 1.91815e-11 1.84214e-11 1.25772e-10 1.21556e-10 7.61766e-11 3.8691e-10 4.7237e-11 2.98512e-11 3.26018e-11 1.88582e-10 1.8338e-10 1.17386e-10 1.78032e-10
"2" 8.73727e-11 7.30852e-10 1.39417e-10 5.69913e-10 1.36298e-10 9.53642e-11 3.37975e-10 7.20177e-11 7.98266e-11 4.35806e-11 1.15799e-10 3.79132e-10 2.81688e-10 1.72622e-10 9.38585e-11 4.65226e-11 3.58591e-10 2.66192e-10 1.61333e-10 6.25919e-11 2.98104e-11 1.47562e-10 2.35115e-10 1.76163e-10 1.07646e-10 9.81627e-11 7.49195e-11 8.17212e-11 1.57646e-10 3.62123e-10 2.60422e-10 1.65963e-10 1.14598e-10 8.15449e-11 1.08015e-10 1.34999e-10
"3" 8.61607e-12 1.39417e-10 2.44282e-09 1.3464e-10 2.04079e-09 1.49227e-09 6.68972e-11 1.15105e-09 9.25415e-10 5.38163e-10 1.38538e-11 2.96395e-10 2.78662e-10 1.47472e-10 2.24774e-11 -1.61548e-12 5.06516e-11 7.83138e-11 2.9491e-11 -2.12317e-12 -4.45879e-12 2.59131e-11 4.43097e-10 3.67632e-10 2.0665e-10 4.99413e-11 9.91262e-12 8.31278e-11 3.12544e-11 4.66759e-10 3.65038e-10 2.15355e-10 5.37569e-11 1.39394e-11 8.90969e-11 9.65715e-11
"4" 6.95768e-11 5.69913e-10 1.3464e-10 2.3781e-09 2.79587e-10 4.17445e-10 6.59381e-10 1.15842e-10 1.87343e-10 9.05353e-11 -6.64908e-11 2.539e-10 1.18662e-09 3.14742e-10 -7.97564e-11 5.23824e-11 2.6429e-10 1.15707e-09 3.16944e-10 -1.88461e-11 3.69111e-11 2.66227e-10 1.89697e-10 7.34728e-10 2.10189e-10 9.55779e-11 1.30931e-10 1.48442e-10 2.17089e-10 2.67048e-10 1.13276e-09 3.0813e-10 5.45614e-11 1.08953e-10 1.69573e-10 1.76629e-10
"5" 1.17456e-11 1.36298e-10 2.04079e-09 2.79587e-10 4.7853e-09 6.65168e-09 9.68884e-11 1.60315e-09 2.79434e-09 1.06109e-09 -9.34502e-12 -2.67624e-11 3.83162e-10 7.77237e-11 -4.40105e-11 3.22162e-13 9.82971e-11 1.46279e-10 6.28114e-11 3.62201e-13 -2.45417e-12 3.61696e-11 6.31811e-10 1.08139e-09 4.09976e-10 2.02305e-11 1.71835e-11 1.51118e-10 3.20006e-11 5.31133e-10 1.02718e-09 3.6781e-10 8.76916e-12 1.62453e-11 1.38963e-10 1.34701e-10
"6" 8.85038e-12 9.53642e-11 1.49227e-09 4.17445e-10 6.65168e-09 2.6631e-08 1.15326e-10 1.79418e-09 7.47283e-09 2.12379e-09 -2.77295e-11 -2.31704e-10 -1.12797e-09 -2.32279e-10 1.76749e-10 2.23312e-12 1.08627e-10 3.30564e-10 1.5408e-10 5.62114e-11 4.7511e-11 4.09106e-11 6.93883e-10 2.86221e-09 8.38494e-10 -4.48141e-11 7.89338e-11 3.34278e-10 2.87654e-11 5.35767e-10 2.19282e-09 6.4196e-10 -4.07401e-11 5.49976e-11 2.56096e-10 1.8423e-10
"7" 5.57826e-11 3.37975e-10 6.68972e-11 6.59381e-10 9.68884e-11 1.15326e-10 1.59829e-09 1.75179e-10 2.12017e-10 9.23659e-11 2.2172e-10 1.84293e-10 3.38883e-10 8.28853e-10 2.09872e-10 2.90822e-10 1.8466e-10 3.36251e-10 8.036e-10 2.46741e-10 2.77811e-10 4.32658e-10 1.44474e-10 2.24392e-10 5.16503e-10 2.71303e-10 2.88197e-10 2.55197e-10 4.09169e-10 2.00222e-10 3.23386e-10 7.9356e-10 2.89684e-10 3.19658e-10 3.12515e-10 3.6343e-10
"8" 2.16226e-12 7.20177e-11 1.15105e-09 1.15842e-10 1.60315e-09 1.79418e-09 1.75179e-10 2.94587e-09 2.80298e-09 2.4532e-09 1.64519e-11 4.08022e-10 4.352e-10 4.84529e-10 7.7487e-11 1.68099e-11 4.59154e-10 4.1467e-10 2.61735e-10 5.95435e-11 1.56764e-11 4.9332e-11 8.3623e-10 7.63113e-10 8.21893e-10 1.50045e-10 1.03773e-10 2.67657e-10 5.27208e-11 7.97e-10 7.14468e-10 8.30884e-10 1.49836e-10 1.11799e-10 2.64506e-10 2.71019e-10
"9" 9.0148e-12 7.98266e-11 9.25415e-10 1.87343e-10 2.79434e-09 7.47283e-09 2.12017e-10 2.80298e-09 9.87951e-09 4.8683e-09 5.0535e-12 2.14633e-10 9.57974e-10 -3.84862e-11 -3.39347e-11 2.30974e-11 4.15812e-10 1.51739e-09 5.66378e-10 -6.25662e-12 6.70371e-11 5.21469e-11 7.73346e-10 2.78147e-09 1.6523e-09 6.42333e-11 2.16988e-10 5.13901e-10 4.34783e-11 6.72695e-10 2.52333e-09 1.37234e-09 2.73506e-11 1.65655e-10 4.34359e-10 3.65689e-10
"10" -2.82052e-13 4.35806e-11 5.38163e-10 9.05353e-11 1.06109e-09 2.12379e-09 9.23659e-11 2.4532e-09 4.8683e-09 2.13721e-08 1.51967e-11 3.29482e-10 6.64066e-10 1.11324e-09 2.01878e-10 2.00787e-11 4.3247e-10 8.63103e-10 1.49252e-09 2.63635e-10 3.3986e-10 6.25687e-11 6.92532e-10 1.32283e-09 3.04539e-09 4.04379e-10 5.49717e-10 7.44143e-10 6.28598e-11 6.46145e-10 1.20356e-09 2.85731e-09 3.88124e-10 5.37639e-10 8.15984e-10 9.32574e-10
