"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"1" 2.42899e-09 1.75089e-09 1.17477e-09 1.12389e-09 7.81738e-10 5.07159e-10 1.4302e-09 1.00724e-09 6.26506e-10 8.49297e-10 1.93617e-09 1.52419e-09 9.46453e-10 7.73297e-10 9.29178e-10 9.19955e-10 7.27159e-10 4.20924e-10 5.8578e-10 4.47789e-10 4.20232e-10 9.87382e-10 7.17885e-10 4.33878e-10 5.75788e-10 6.17276e-10 3.79593e-10 3.93932e-10 1.05511e-09 7.47253e-10 4.58099e-10 6.3017e-10 6.86418e-10 4.49574e-10 4.35194e-10 4.78505e-10
"2" 1.75089e-09 2.60252e-09 2.99191e-09 9.73582e-10 1.38587e-09 5.41091e-10 9.93438e-10 1.54121e-09 5.56165e-10 5.77158e-10 1.19727e-09 2.07262e-09 6.80001e-10 3.99683e-10 1.53002e-10 9.47991e-10 1.19467e-09 4.99256e-10 5.72501e-10 3.88551e-10 4.63792e-10 5.01317e-10 1.05436e-09 3.31593e-10 2.24525e-10 9.52633e-11 2.36839e-10 -1.74976e-11 6.24194e-10 1.18829e-09 3.92153e-10 3.27593e-10 2.02013e-10 3.29473e-10 4.22029e-11 1.10246e-10
"3" 1.17477e-09 2.99191e-09 6.66317e-09 8.21065e-10 1.94602e-09 5.63223e-10 6.87262e-10 1.62744e-09 4.62036e-10 3.90747e-10 5.42005e-10 1.15687e-09 3.38778e-10 1.87153e-10 7.29414e-11 8.51736e-10 1.75832e-09 5.50053e-10 5.12569e-10 2.62261e-10 5.59485e-10 1.54671e-10 7.62917e-11 9.28036e-11 5.62177e-11 1.40864e-10 3.10834e-11 1.70855e-10 3.08512e-10 5.63766e-10 1.97923e-10 1.58688e-10 1.71244e-10 1.87272e-10 1.362e-10 1.41578e-10
"4" 1.12389e-09 9.73582e-10 8.21065e-10 4.10528e-09 3.29886e-09 3.76911e-09 1.12833e-09 9.53838e-10 2.67693e-09 9.93892e-10 1.13185e-09 9.68003e-10 3.59611e-09 5.05551e-10 8.50105e-10 1.72327e-10 1.90149e-10 1.27467e-09 2.65127e-10 1.38922e-10 1.48425e-10 4.46729e-10 4.23598e-10 1.81888e-09 3.64945e-10 3.98626e-10 1.10733e-10 1.71647e-10 6.87047e-10 5.58037e-10 2.03687e-09 6.00202e-10 5.99315e-10 2.60343e-10 3.19238e-10 4.92872e-10
"5" 7.81738e-10 1.38587e-09 1.94602e-09 3.29886e-09 6.57136e-09 3.79686e-09 8.2417e-10 1.56779e-09 1.98942e-09 6.88788e-10 6.59837e-10 1.62332e-09 1.40914e-09 1.91821e-10 -1.21444e-10 1.97552e-10 3.07029e-10 1.56796e-09 3.55569e-10 8.79693e-11 2.22724e-11 2.16267e-10 6.83208e-10 1.10574e-10 3.37285e-11 -1.32137e-10 1.06739e-11 -1.79707e-10 4.25522e-10 1.22717e-09 7.35376e-10 2.94253e-10 -2.55805e-11 1.6973e-10 -1.74622e-10 -7.3294e-11
"6" 5.07159e-10 5.41091e-10 5.63223e-10 3.76911e-09 3.79686e-09 2.28958e-08 7.39646e-10 7.99182e-10 4.82811e-09 1.09509e-09 6.57886e-10 7.2055e-10 6.01785e-09 2.00896e-10 1.12792e-09 -6.97023e-11 -1.61393e-11 3.50218e-10 -5.02459e-11 1.57627e-10 2.06911e-10 2.04907e-10 2.67227e-10 2.84859e-09 1.14223e-10 4.88651e-10 4.48501e-11 1.64498e-10 4.13796e-10 5.46433e-10 4.80296e-09 5.73994e-10 6.93296e-10 1.21932e-10 3.40875e-10 7.35655e-10
"7" 1.4302e-09 9.93438e-10 6.87262e-10 1.12833e-09 8.2417e-10 7.39646e-10 4.64355e-09 3.51605e-09 2.44748e-09 5.2478e-09 1.80177e-09 1.29975e-09 1.05968e-09 2.92653e-09 1.43489e-09 1.34785e-09 1.06868e-09 8.21499e-10 2.11152e-09 1.02812e-09 6.4111e-10 1.12002e-09 8.03603e-10 6.82327e-10 2.13615e-09 9.45086e-10 6.90807e-10 6.3195e-10 1.35789e-09 9.41087e-10 7.86463e-10 2.47917e-09 1.09878e-09 8.66665e-10 7.70162e-10 9.29217e-10
"8" 1.00724e-09 1.54121e-09 1.62744e-09 9.53838e-10 1.56779e-09 7.99182e-10 3.51605e-09 7.01438e-09 2.42297e-09 3.62532e-09 1.25856e-09 2.81096e-09 8.83205e-10 1.26527e-09 2.74502e-10 1.25213e-09 2.06408e-09 9.42087e-10 2.40556e-09 8.39243e-10 9.20537e-10 6.86253e-10 1.67786e-09 4.82578e-10 3.10224e-10 6.85688e-11 4.00525e-10 -5.02672e-11 9.04614e-10 2.06764e-09 7.02577e-10 1.13821e-09 3.48857e-10 7.14693e-10 7.21963e-11 2.84926e-10
"9" 6.26506e-10 5.56165e-10 4.62036e-10 2.67693e-09 1.98942e-09 4.82811e-09 2.44748e-09 2.42297e-09 1.27356e-08 5.59856e-09 7.1176e-10 7.51315e-10 5.19774e-09 1.45763e-09 4.9155e-10 4.87852e-10 5.20089e-10 3.08223e-09 5.16291e-10 2.49163e-10 -4.36078e-11 4.78708e-10 5.05279e-10 3.21712e-09 9.0129e-10 3.05494e-10 1.20016e-10 2.1699e-10 7.32765e-10 7.24967e-10 4.0309e-09 2.32752e-09 6.1154e-10 4.28773e-10 4.53623e-10 8.86422e-10
"10" 8.49297e-10 5.77158e-10 3.90747e-10 9.93892e-10 6.88788e-10 1.09509e-09 5.2478e-09 3.62532e-09 5.59856e-09 2.84978e-08 1.56544e-09 1.06553e-09 1.82952e-09 9.57808e-09 3.21906e-09 1.24024e-09 8.57967e-10 1.30546e-09 6.57575e-09 2.35922e-09 1.42674e-09 9.73748e-10 6.67635e-10 1.06737e-09 5.72651e-09 1.85019e-09 1.41049e-09 1.10171e-09 1.27417e-09 8.66174e-10 1.35481e-09 7.55596e-09 2.24963e-09 1.77122e-09 1.37429e-09 1.80804e-09
