"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"1" 1.06454e-08 3.50059e-09 4.89524e-10 4.11478e-09 1.44334e-09 8.20089e-10 4.96542e-09 1.54312e-09 1.59929e-09 2.30358e-09 4.18478e-09 1.53454e-09 1.85391e-09 1.77392e-09 1.89247e-09 4.8582e-09 1.59409e-09 2.07912e-09 2.00791e-09 2.11647e-09 2.24849e-09 1.06836e-08 4.12107e-09 4.30712e-09 4.84407e-09 4.67566e-09 5.51114e-09 1.06906e-08 8.91258e-09 3.35584e-09 3.38294e-09 4.01515e-09 3.78094e-09 4.43602e-09 8.85644e-09 7.3202e-09
"2" 3.50059e-09 3.46296e-09 3.10406e-09 2.10142e-09 2.41422e-09 1.35675e-09 1.88823e-09 1.84799e-09 1.15532e-09 1.14426e-09 1.70921e-09 2.11111e-09 1.20488e-09 7.79122e-10 1.02843e-09 2.20325e-09 2.60606e-09 1.45902e-09 1.02212e-09 1.26002e-09 1.55494e-09 2.71466e-09 3.12495e-09 1.55229e-09 1.51687e-09 1.23984e-09 1.67078e-09 1.979e-09 2.30745e-09 2.6765e-09 1.26809e-09 1.2941e-09 1.03282e-09 1.40672e-09 1.68535e-09 1.43914e-09
"3" 4.89524e-10 3.10406e-09 8.14139e-09 1.0527e-09 3.1688e-09 1.38048e-09 5.46763e-10 1.96767e-09 1.00015e-09 5.56267e-10 6.17252e-10 2.0752e-09 8.24034e-10 3.93284e-10 7.41081e-10 9.40112e-10 3.07846e-09 9.81606e-10 5.76485e-10 7.62039e-10 1.06871e-09 -6.1539e-10 5.76001e-10 -5.99855e-11 -2.77067e-10 -6.63573e-11 5.53053e-11 -9.96196e-10 -4.67604e-10 4.74081e-10 -5.87535e-11 -2.31153e-10 -5.44182e-11 1.26529e-10 -7.54238e-10 -5.33204e-10
"4" 4.11478e-09 2.10142e-09 1.0527e-09 1.01323e-08 6.12138e-09 1.31123e-08 3.95052e-09 2.18328e-09 6.81932e-09 3.18229e-09 1.76681e-09 9.67816e-10 6.12808e-09 1.70112e-09 7.06022e-10 1.42861e-09 7.24974e-10 7.05106e-09 1.57395e-09 5.13851e-10 1.20834e-10 5.90179e-09 3.32016e-09 1.18967e-08 4.73246e-09 2.92557e-09 2.7858e-09 7.51685e-09 5.60633e-09 3.16927e-09 1.06521e-08 4.30075e-09 2.87902e-09 2.81819e-09 6.98459e-09 6.45173e-09
"5" 1.44334e-09 2.41422e-09 3.1688e-09 6.12138e-09 9.92943e-09 1.13695e-08 2.10022e-09 3.29326e-09 5.03881e-09 2.32643e-09 7.95941e-10 1.08044e-09 3.72659e-09 8.95685e-10 4.47501e-10 6.51296e-10 8.34102e-10 4.79777e-09 9.60855e-10 4.13984e-10 1.1787e-10 1.82748e-09 3.6121e-09 4.42473e-09 1.79598e-09 1.1111e-09 1.29067e-09 1.31807e-09 1.94732e-09 3.72861e-09 4.19922e-09 1.76818e-09 1.19256e-09 1.41361e-09 1.36466e-09 1.38053e-09
"6" 8.20089e-10 1.35675e-09 1.38048e-09 1.31123e-08 1.13695e-08 9.54608e-08 4.41609e-09 4.02631e-09 2.48135e-08 9.29002e-09 3.37775e-10 5.63395e-10 4.26017e-09 1.19081e-09 7.76437e-13 -2.0588e-10 5.9029e-11 7.89925e-10 3.72633e-10 2.31536e-10 6.54073e-10 4.14104e-09 3.92205e-09 3.16771e-08 9.8589e-09 1.60443e-09 2.02843e-10 1.03087e-08 4.58903e-09 4.18594e-09 3.36422e-08 1.02952e-08 1.82726e-09 2.40918e-10 1.09474e-08 1.15664e-08
"7" 4.96542e-09 1.88823e-09 5.46763e-10 3.95052e-09 2.10022e-09 4.41609e-09 2.49181e-08 1.49388e-08 2.03402e-08 2.66963e-08 3.18443e-09 1.14859e-09 2.57122e-09 1.03783e-08 2.02227e-09 -5.47354e-10 -8.27167e-10 -5.93324e-10 9.92576e-09 9.34283e-10 -3.74801e-10 8.88175e-09 4.65736e-09 7.27167e-09 2.56025e-08 5.3304e-09 2.08669e-09 1.2765e-08 7.47138e-09 3.91215e-09 5.98378e-09 2.2043e-08 4.5664e-09 1.75081e-09 1.08371e-08 9.20422e-09
"8" 1.54312e-09 1.84799e-09 1.96767e-09 2.18328e-09 3.29326e-09 4.02631e-09 1.49388e-08 1.94938e-08 1.5585e-08 1.8785e-08 1.11713e-09 9.31225e-10 1.3825e-09 6.0263e-09 8.24895e-10 -7.70225e-10 -1.65931e-09 -7.38911e-10 6.22679e-09 4.13502e-10 -1.03767e-10 3.63389e-09 4.58867e-09 3.51388e-09 1.14203e-08 2.1299e-09 1.37775e-09 4.64357e-09 3.14381e-09 3.98253e-09 2.91266e-09 9.75536e-09 1.87187e-09 1.28186e-09 4.10279e-09 3.64388e-09
"9" 1.59929e-09 1.15532e-09 1.00015e-09 6.81932e-09 5.03881e-09 2.48135e-08 2.03402e-08 1.5585e-08 6.41406e-08 4.16193e-08 1.8176e-09 7.99851e-10 5.26277e-09 7.84553e-09 1.20194e-09 -1.69131e-09 -1.37911e-09 -6.64205e-09 2.4828e-09 8.38654e-11 2.95307e-11 5.37082e-09 4.12526e-09 1.90711e-08 3.173e-08 3.52055e-09 -2.34996e-09 1.15988e-08 4.81945e-09 3.72961e-09 1.73263e-08 3.0473e-08 3.27703e-09 -2.48688e-09 1.0706e-08 9.83909e-09
"10" 2.30358e-09 1.14426e-09 5.56267e-10 3.18229e-09 2.32643e-09 9.29002e-09 2.66963e-08 1.8785e-08 4.16193e-08 1.24062e-07 2.59921e-09 9.84221e-10 3.67582e-09 1.55894e-08 1.99499e-09 -1.7415e-09 -1.75004e-09 -4.36567e-09 -5.28455e-09 -6.21274e-10 8.13514e-10 6.891e-09 4.62468e-09 1.05673e-08 4.2869e-08 5.58448e-09 -1.76423e-09 1.44737e-08 5.85078e-09 3.94635e-09 8.88987e-09 3.70339e-08 4.89205e-09 -1.4149e-09 1.25105e-08 1.08277e-08
"11" 4.18478e-09 1.70921e-09 6.17252e-10 1.76681e-09 7.95941e-10 3.37775e-10 3.18443e-09 1.11713e-09 1.8176e-09 2.59921e-09 1.61734e-08 7.67085e-09 1.11179e-08 8.1553e-09 1.57215e-08 8.74845e-09 4.59356e-09 5.79217e-09 4.16254e-09 1.41013e-08 1.0702e-08 7.09436e-09 3.35176e-09 4.06112e-09 4.55052e-09 1.81094e-08 1.119e-08 9.97591e-09 5.60783e-09 2.62146e-09 3.12764e-09 3.69591e-09 1.54429e-08 9.26221e-09 8.08172e-09 6.50643e-09
"12" 1.53454e-09 2.11111e-09 2.0752e-09 9.67816e-10 1.08044e-09 5.63395e-10 1.14859e-09 9.31225e-10 7.99851e-10 9.84221e-10 7.67085e-09 1.06888e-08 6.85282e-09 4.07662e-09 8.49387e-09 4.84232e-09 7.99256e-09 4.19895e-09 2.52735e-09 8.49614e-09 7.31651e-09 2.34768e-09 3.62324e-09 2.04507e-09 1.83928e-09 5.45847e-09 3.56533e-09 2.14979e-09 1.85599e-09 2.91447e-09 1.60286e-09 1.50929e-09 4.60823e-09 2.90722e-09 1.70876e-09 1.33371e-09
"13" 1.85391e-09 1.20488e-09 8.24034e-10 6.12808e-09 3.72659e-09 4.26017e-09 2.57122e-09 1.3825e-09 5.26277e-09 3.67582e-09 1.11179e-08 6.85282e-09 4.545e-08 1.23857e-08 7.48264e-09 5.37224e-09 3.99773e-09 2.76501e-08 6.28826e-09 4.7098e-09 2.24441e-09 5.35994e-09 3.47196e-09 1.51087e-08 6.01532e-09 2.01758e-08 1.14792e-08 1.15232e-08 4.78779e-09 3.07511e-09 1.21875e-08 5.10624e-09 2.02297e-08 1.17473e-08 1.04432e-08 9.3244e-09
"14" 1.77392e-09 7.79122e-10 3.93284e-10 1.70112e-09 8.95685e-10 1.19081e-09 1.03783e-08 6.0263e-09 7.84553e-09 1.55894e-08 8.1553e-09 4.07662e-09 1.23857e-08 4.36558e-08 8.98609e-09 2.573e-09 1.66367e-09 5.6568e-09 2.35914e-08 -5.09009e-10 -3.21757e-09 4.7354e-09 2.53696e-09 5.51833e-09 1.91239e-08 1.5567e-08 6.05663e-09 9.81407e-09 3.81056e-09 2.00711e-09 4.37339e-09 1.55021e-08 1.34073e-08 5.2135e-09 8.02739e-09 6.53249e-09
"15" 1.89247e-09 1.02843e-09 7.41081e-10 7.06022e-10 4.47501e-10 7.76437e-13 2.02227e-09 8.24895e-10 1.20194e-09 1.99499e-09 1.57215e-08 8.49387e-09 7.48264e-09 8.98609e-09 8.42182e-08 9.16267e-09 5.55705e-09 4.08382e-09 4.66305e-09 5.75259e-08 4.09581e-08 5.15019e-09 3.01775e-09 2.43147e-09 3.46147e-09 3.1065e-08 2.06087e-08 1.10485e-08 4.03874e-09 2.41485e-09 1.92669e-09 2.71166e-09 2.51928e-08 1.66503e-08 8.93278e-09 7.23044e-09
"16" 4.8582e-09 2.20325e-09 9.40112e-10 1.42861e-09 6.51296e-10 -2.0588e-10 -5.47354e-10 -7.70225e-10 -1.69131e-09 -1.7415e-09 8.74845e-09 4.84232e-09 5.37224e-09 2.573e-09 9.16267e-09 1.1238e-08 6.45387e-09 6.93273e-09 3.45346e-09 1.16629e-08 1.48839e-08 5.94689e-09 2.99616e-09 2.13292e-09 -7.25217e-11 9.84804e-09 1.26697e-08 6.95136e-09 5.05879e-09 2.53993e-09 1.7816e-09 -8.4121e-11 8.41551e-09 1.08532e-08 5.89372e-09 4.98885e-09
"17" 1.59409e-09 2.60606e-09 3.07846e-09 7.24974e-10 8.34102e-10 5.9029e-11 -8.27167e-10 -1.65931e-09 -1.37911e-09 -1.75004e-09 4.59356e-09 7.99256e-09 3.99773e-09 1.66367e-09 5.55705e-09 6.45387e-09 1.0909e-08 5.31384e-09 2.31469e-09 7.4715e-09 1.04081e-08 1.51329e-09 3.03339e-09 1.12611e-09 5.04929e-11 2.73639e-09 3.88142e-09 8.92422e-10 1.37507e-09 2.69034e-09 1.00634e-09 1.06238e-10 2.38313e-09 3.39016e-09 7.92726e-10 6.8515e-10
"18" 2.07912e-09 1.45902e-09 9.81606e-10 7.05106e-09 4.79777e-09 7.89925e-10 -5.93324e-10 -7.38911e-10 -6.64205e-09 -4.36567e-09 5.79217e-09 4.19895e-09 2.76501e-08 5.6568e-09 4.08382e-09 6.93273e-09 5.31384e-09 3.45762e-08 7.13609e-09 3.79074e-09 3.22627e-09 4.1245e-09 2.84435e-09 1.01654e-08 -8.28925e-10 1.1198e-08 1.37033e-08 7.16077e-09 4.10873e-09 2.82241e-09 8.84278e-09 -1.06257e-09 1.15381e-08 1.42751e-08 6.94411e-09 6.65729e-09
"19" 2.00791e-09 1.02212e-09 5.76485e-10 1.57395e-09 9.60855e-10 3.72633e-10 9.92576e-09 6.22679e-09 2.4828e-09 -5.28455e-09 4.16254e-09 2.52735e-09 6.28826e-09 2.35914e-08 4.66305e-09 3.45346e-09 2.31469e-09 7.13609e-09 2.98777e-08 1.27856e-09 -3.82855e-09 4.32852e-09 2.57657e-09 2.92951e-09 1.1833e-08 8.61933e-09 8.61164e-09 7.20728e-09 3.6972e-09 2.20789e-09 2.44452e-09 1.03254e-08 7.44105e-09 7.48337e-09 6.15168e-09 5.23922e-09
"20" 2.11647e-09 1.26002e-09 7.62039e-10 5.13851e-10 4.13984e-10 2.31536e-10 9.34283e-10 4.13502e-10 8.38654e-11 -6.21274e-10 1.41013e-08 8.49614e-09 4.7098e-09 -5.09009e-10 5.75259e-08 1.16629e-08 7.4715e-09 3.79074e-09 1.27856e-09 5.77124e-08 5.47586e-08 4.80942e-09 3.00249e-09 1.52108e-09 3.25148e-10 2.34594e-08 2.19658e-08 8.72219e-09 3.92496e-09 2.4925e-09 1.30179e-09 3.06323e-10 1.99186e-08 1.84635e-08 7.34885e-09 6.2024e-09
"21" 2.24849e-09 1.55494e-09 1.06871e-09 1.20834e-10 1.1787e-10 6.54073e-10 -3.74801e-10 -1.03767e-10 2.95307e-11 8.13514e-10 1.0702e-08 7.31651e-09 2.24441e-09 -3.21757e-09 4.09581e-08 1.48839e-08 1.04081e-08 3.22627e-09 -3.82855e-09 5.47586e-08 7.32715e-08 4.24872e-09 2.99524e-09 8.91402e-10 -1.08855e-09 1.71392e-08 2.31982e-08 6.97054e-09 3.72168e-09 2.6345e-09 9.08257e-10 -1.01055e-09 1.51432e-08 2.04879e-08 6.18051e-09 5.50787e-09
"22" 1.06836e-08 2.71466e-09 -6.1539e-10 5.90179e-09 1.82748e-09 4.14104e-09 8.88175e-09 3.63389e-09 5.37082e-09 6.891e-09 7.09436e-09 2.34768e-09 5.35994e-09 4.7354e-09 5.15019e-09 5.94689e-09 1.51329e-09 4.1245e-09 4.32852e-09 4.80942e-09 4.24872e-09 2.81697e-08 1.44611e-08 1.90895e-08 1.65e-08 1.99365e-08 2.19419e-08 4.43927e-08 2.27059e-08 1.14931e-08 1.50975e-08 1.34793e-08 1.59922e-08 1.74413e-08 3.672e-08 3.02955e-08
"23" 4.12107e-09 3.12495e-09 5.76001e-10 3.32016e-09 3.6121e-09 3.92205e-09 4.65736e-09 4.58867e-09 4.12526e-09 4.62468e-09 3.35176e-09 3.62324e-09 3.47196e-09 2.53696e-09 3.01775e-09 2.99616e-09 3.03339e-09 2.84435e-09 2.57657e-09 3.00249e-09 2.99524e-09 1.44611e-08 1.68925e-08 1.22271e-08 9.4692e-09 1.04604e-08 1.26885e-08 1.90183e-08 1.16558e-08 1.37206e-08 9.7384e-09 7.81399e-09 8.34158e-09 1.01059e-08 1.57763e-08 1.30702e-08
"24" 4.30712e-09 1.55229e-09 -5.99855e-11 1.18967e-08 4.42473e-09 3.16771e-08 7.27167e-09 3.51388e-09 1.90711e-08 1.05673e-08 4.06112e-09 2.04507e-09 1.51087e-08 5.51833e-09 2.43147e-09 2.13292e-09 1.12611e-09 1.01654e-08 2.92951e-09 1.52108e-09 8.91402e-10 1.90895e-08 1.22271e-08 5.41507e-08 2.25185e-08 1.29206e-08 9.95544e-09 4.34695e-08 1.6077e-08 1.00467e-08 4.52971e-08 1.93272e-08 1.14683e-08 8.67228e-09 3.8776e-08 3.43136e-08
"25" 4.84407e-09 1.51687e-09 -2.77067e-10 4.73246e-09 1.79598e-09 9.8589e-09 2.56025e-08 1.14203e-08 3.173e-08 4.2869e-08 4.55052e-09 1.83928e-09 6.01532e-09 1.91239e-08 3.46147e-09 -7.25217e-11 5.04929e-11 -8.28925e-10 1.1833e-08 3.25148e-10 -1.08855e-09 1.65e-08 9.4692e-09 2.25185e-08 6.50311e-08 1.08472e-08 -6.91571e-10 3.70121e-08 1.3495e-08 7.71476e-09 1.82896e-08 5.40472e-08 9.10087e-09 -5.01543e-10 3.09736e-08 2.59004e-08
"26" 4.67566e-09 1.23984e-09 -6.63573e-11 2.92557e-09 1.1111e-09 1.60443e-09 5.3304e-09 2.1299e-09 3.52055e-09 5.58448e-09 1.81094e-08 5.45847e-09 2.01758e-08 1.5567e-08 3.1065e-08 9.84804e-09 2.73639e-09 1.1198e-08 8.61933e-09 2.34594e-08 1.71392e-08 1.99365e-08 1.04604e-08 1.29206e-08 1.08472e-08 6.47567e-08 4.99498e-08 4.62208e-08 1.57039e-08 8.14984e-09 1.00399e-08 8.66996e-09 5.29053e-08 4.02159e-08 3.76232e-08 3.05489e-08
"27" 5.51114e-09 1.67078e-09 5.53053e-11 2.7858e-09 1.29067e-09 2.02843e-10 2.08669e-09 1.37775e-09 -2.34996e-09 -1.76423e-09 1.119e-08 3.56533e-09 1.14792e-08 6.05663e-09 2.06087e-08 1.26697e-08 3.88142e-09 1.37033e-08 8.61164e-09 2.19658e-08 2.31982e-08 2.19419e-08 1.26885e-08 9.95544e-09 -6.91571e-10 4.99498e-08 6.1512e-08 4.36745e-08 1.76203e-08 1.00503e-08 7.91366e-09 -5.98229e-10 4.05906e-08 4.99482e-08 3.6423e-08 3.03001e-08
