Element,Crisr,Everr,Grahr,Liner,Pulcr,Sagrr,Smarr,Crise,Evere,Grahe,Linee,Pulce,Sagre,Smare
G12,0.2448,-0.0469,0.8069,0.8373,0.7009,0.3772,0.2274,0.0677,0.097,0.0916,0.114,0.2178,0.059,0.3529
G13,-0.1217,0.0307,0.4336,0.6679,0.8097,-0.0067,0.4677,0.0791,0.0943,0.1903,0.1582,0.2373,0.0868,0.2484
G23,0.4353,0.7121,0.3771,0.6523,0.5737,0.5655,0.1764,0.0732,0.0766,0.2293,0.2059,0.1534,0.0833,0.4501
G14,-0.2103,-0.043,0.4654,0.3026,0.2756,-0.2106,0.2303,0.1297,0.1014,0.1335,0.2173,0.2592,0.1341,0.1513
G24,0.4842,0.4141,0.2768,0.2693,0.1866,-0.0485,-0.0067,0.0925,0.1076,0.1726,0.2653,0.1759,0.1457,0.254
G34,0.5517,0.5351,0.3486,0.4138,0.3626,0.095,0.6484,0.0916,0.1061,0.2098,0.2625,0.1909,0.1144,0.1785
G15,0.4251,0.3059,0.307,0.4911,0.5942,0.3722,0.7223,0.0808,0.0955,0.2659,0.1666,0.2993,0.0767,0.2983
G25,0.0878,0.0419,0.1225,0.4754,0.1183,-0.1705,0.5998,0.082,0.1166,0.3407,0.1957,0.2008,0.1156,0.4214
G35,-0.2588,0.0529,0.2814,0.2619,0.1877,0.0649,0.2276,0.0836,0.1169,0.3915,0.2509,0.196,0.1184,0.3022
G45,-0.1899,0.1888,0.3146,-0.017,-0.047,-0.206,0.2588,0.1011,0.1223,0.192,0.223,0.1673,0.1263,0.2607
G16,0.1323,0.2859,0.2398,0.6054,0.6289,0.0627,0.6009,0.091,0.0922,0.1876,0.1178,0.2946,0.0842,0.2353
G26,0.108,-0.0464,0.2218,0.5662,0.204,-0.3208,0.3479,0.0897,0.1126,0.2211,0.1779,0.1923,0.0973,0.4805
G36,-0.0784,0.0955,0.191,0.3479,0.2278,-0.1099,0.4063,0.0941,0.1113,0.2814,0.2228,0.1635,0.1226,0.2961
G46,0.0215,0.186,0.1431,-0.2038,-0.1752,0.1492,0.5962,0.1105,0.1167,0.1986,0.1773,0.16,0.1123,0.3055
G56,0.805,0.9635,0.7901,0.9362,0.9045,0.7403,0.7827,0.0565,0.0437,0.1551,0.0714,0.066,0.0688,0.2897
G17,0.4028,0.1255,0.3551,0.6326,0.3817,0.5847,0.5916,0.0656,0.0724,0.1363,0.1432,0.2106,0.059,0.2065
G27,0.0492,0.0639,-0.0127,0.3492,0.1222,-0.0998,0.2574,0.0683,0.0869,0.2494,0.2367,0.1579,0.1116,0.3484
G37,-0.0489,0.2001,0.1907,0.6268,0.1963,-0.0847,0.255,0.0723,0.0834,0.3229,0.2019,0.1342,0.1307,0.337
G47,-0.0763,0.3188,0.3105,0.2369,0.172,-0.0266,0.2615,0.0874,0.0893,0.1708,0.2318,0.113,0.0969,0.2735
G57,0.8374,0.8254,0.8731,0.5351,0.6577,0.8691,0.7728,0.0487,0.0659,0.1649,0.201,0.1271,0.0549,0.307
G67,0.7793,0.846,0.723,0.5245,0.6322,0.647,0.7282,0.0584,0.0529,0.1596,0.1956,0.1128,0.0831,0.3106
G18,0.48,0.1824,0.3671,0.6099,0.3624,0.4214,0.6436,0.063,0.069,0.1266,0.1463,0.2139,0.0538,0.1538
G28,0.014,0.0638,0.0764,0.3107,0.0904,-0.2591,0.0252,0.066,0.0852,0.2309,0.2379,0.1343,0.0974,0.2225
G38,-0.1481,0.1307,0.3583,0.6715,0.1695,-0.0866,0.3108,0.069,0.0826,0.2885,0.1881,0.108,0.1217,0.2788
G48,-0.1131,0.2472,0.3986,0.2091,0.1807,-0.0064,0.4769,0.085,0.0886,0.1335,0.2332,0.1121,0.0841,0.205
G58,0.808,0.7884,0.9078,0.5189,0.5486,0.8727,0.7167,0.0511,0.0714,0.1646,0.2064,0.1585,0.0482,0.2688
G68,0.768,0.8159,0.8311,0.533,0.6215,0.8109,0.8061,0.0571,0.0565,0.1239,0.1964,0.1296,0.0601,0.243
G78,0.8936,0.9745,0.9554,0.9454,0.9106,0.9188,0.9189,0.0165,0.0112,0.0367,0.0288,0.0378,0.0255,0.0943
