"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"1" 1.66228e-08 3.30328e-09 1.03844e-09 1.04438e-08 2.30409e-09 7.06482e-09 2.28096e-09 4.68158e-10 1.45494e-09 3.35067e-10 7.45929e-09 1.13147e-09 3.45917e-09 8.69581e-10 3.51495e-09 4.24846e-09 4.82063e-10 2.46027e-09 3.38164e-10 1.79915e-09 2.60215e-10 9.12436e-09 1.36896e-09 5.98312e-09 1.67151e-09 3.41571e-09 2.53091e-09 5.03789e-09 1.09076e-08 1.25136e-09 7.13169e-09 1.73834e-09 3.45039e-09 2.5162e-09 5.97355e-09 7.3127e-09
"2" 3.30328e-09 8.33082e-09 4.45808e-09 3.4922e-09 6.85321e-09 3.68035e-09 4.08146e-10 1.54958e-09 5.2135e-10 9.94824e-11 2.1279e-09 2.90736e-09 1.37993e-09 1.64855e-10 1.41144e-09 1.44219e-09 3.05172e-09 1.32495e-09 2.74055e-10 7.99543e-10 5.79101e-10 1.59372e-09 2.98352e-09 1.50662e-09 2.8782e-10 9.78574e-10 8.15839e-10 7.61343e-10 3.58663e-10 2.71575e-09 6.22313e-10 4.664e-11 5.61932e-10 3.67293e-10 2.42254e-10 -2.9518e-10
"3" 1.03844e-09 4.45808e-09 1.93314e-08 1.47207e-09 6.15957e-09 2.11649e-09 1.35141e-10 5.6167e-10 1.73176e-10 2.76894e-11 2.04273e-10 2.54598e-09 5.58556e-10 -4.32855e-11 4.75967e-10 4.9176e-10 3.68489e-09 7.82263e-10 4.36183e-11 3.55677e-10 5.46721e-10 4.84399e-10 2.70918e-09 6.50824e-10 5.95164e-11 1.45276e-10 3.60438e-10 3.19201e-10 -1.40798e-10 -1.50065e-10 -3.28056e-10 -3.48861e-11 -7.16329e-11 -9.6478e-11 7.97929e-11 2.5159e-10
"4" 1.04438e-08 3.4922e-09 1.47207e-09 2.92753e-08 7.45295e-09 3.54537e-08 4.18189e-09 1.0592e-09 6.63416e-09 1.16884e-09 7.60246e-10 5.18916e-10 8.54267e-09 1.07667e-09 -5.56864e-10 2.5135e-09 7.58698e-10 8.72311e-09 2.29961e-10 -5.13221e-11 -2.44141e-10 4.20916e-09 1.12254e-09 1.45528e-08 2.32311e-09 2.54389e-10 1.08532e-09 1.67592e-09 5.30809e-09 1.17112e-09 1.83414e-08 2.73915e-09 3.26292e-10 1.20584e-09 2.19065e-09 2.88417e-09
"5" 2.30409e-09 6.85321e-09 6.15957e-09 7.45295e-09 2.97963e-08 1.64818e-08 7.94518e-10 4.64916e-09 1.83525e-09 2.20546e-10 3.22472e-10 3.96894e-10 3.57255e-09 5.44392e-10 -1.95391e-10 9.53027e-10 3.4511e-09 4.63561e-09 4.30151e-10 1.26833e-10 5.35198e-10 6.41926e-10 1.76492e-09 3.63397e-09 1.82938e-10 2.68327e-11 3.64112e-10 9.24188e-11 -2.11016e-10 1.60087e-09 -4.28512e-10 -5.91602e-10 1.58112e-10 3.04448e-11 -1.17879e-10 -4.37313e-10
"6" 7.06482e-09 3.68035e-09 2.11649e-09 3.54537e-08 1.64818e-08 1.70325e-07 4.25258e-09 2.26269e-09 2.62959e-08 4.56135e-09 -8.32489e-10 -1.01827e-10 9.07761e-10 -8.40856e-10 -6.65134e-10 1.51599e-09 1.07552e-09 1.11503e-08 3.64717e-10 -7.49564e-10 -3.19789e-10 1.76795e-09 7.50257e-10 9.27998e-09 8.76167e-10 -2.4808e-10 3.96211e-10 4.88676e-10 2.25536e-09 8.78242e-10 1.24786e-08 1.21134e-09 -3.60471e-10 4.1883e-10 5.90297e-10 7.63727e-10
"7" 2.28096e-09 4.08146e-10 1.35141e-10 4.18189e-09 7.94518e-10 4.25258e-09 5.09201e-09 9.92443e-10 3.82698e-09 2.69289e-09 1.16846e-09 2.10396e-10 2.24669e-09 3.38357e-09 9.46584e-10 2.29447e-09 4.66167e-10 2.69925e-09 3.15768e-09 1.62264e-09 1.93293e-09 1.79749e-09 2.89568e-10 2.89704e-09 3.56177e-09 1.06411e-09 1.76222e-09 1.40342e-09 2.69167e-09 3.82541e-10 3.80055e-09 4.38382e-09 1.60314e-09 2.25881e-09 2.0505e-09 2.96381e-09
"8" 4.68158e-10 1.54958e-09 5.6167e-10 1.0592e-09 4.64916e-09 2.26269e-09 9.92443e-10 5.81678e-09 1.57272e-09 3.15005e-10 3.0164e-10 1.0155e-09 1.03161e-09 1.60475e-09 5.44932e-10 5.96813e-10 2.92217e-09 1.32646e-09 1.44105e-09 8.25566e-10 1.21375e-09 2.99968e-10 1.1364e-09 6.22588e-10 6.60061e-10 4.42309e-10 6.18979e-10 2.82233e-10 1.20606e-10 1.88335e-09 1.34153e-13 -6.37225e-10 4.92818e-10 3.06704e-10 9.57753e-11 -4.38443e-10
"9" 1.45494e-09 5.2135e-10 1.73176e-10 6.63416e-09 1.83525e-09 2.62959e-08 3.82698e-09 1.57272e-09 2.07022e-08 1.02257e-08 3.41528e-10 2.21199e-10 3.08973e-09 5.7713e-10 -8.05545e-11 1.41798e-09 6.60083e-10 8.40639e-09 4.10206e-09 1.15865e-10 1.48277e-09 8.65666e-10 2.97863e-10 4.55964e-09 1.97877e-09 1.11912e-10 7.43615e-10 4.02006e-10 1.41744e-09 5.04912e-10 7.85473e-09 3.34008e-09 1.91873e-10 1.27102e-09 6.99195e-10 1.19568e-09
"10" 3.35067e-10 9.94824e-11 2.76894e-11 1.16884e-09 2.20546e-10 4.56135e-09 2.69289e-09 3.15005e-10 1.02257e-08 2.01491e-08 4.21689e-10 5.22487e-11 1.79894e-09 3.43921e-09 5.45612e-10 1.00701e-09 1.53313e-10 4.03571e-09 9.32935e-09 1.34327e-09 3.56528e-09 4.60505e-10 6.88962e-11 1.87331e-09 3.80546e-09 4.85532e-10 1.31819e-09 5.5674e-10 7.41795e-10 8.28703e-11 3.38651e-09 7.10946e-09 1.08046e-09 2.53104e-09 1.10895e-09 2.2738e-09
